Season,Week,Team,Score,Opponent,Win
2013,5,TGIF,129,SHSR,0
2013,5,ROBO,101.7,FLUF,1
2013,5,MEGA,75.4,MCHO,0
2013,5,PHSH,85.5,DMPS,0
2013,5,AFB,112,ATOM,0
2013,5,FLUF,99.7,ROBO,0
2013,5,MCHO,115.3,MEGA,1
2013,5,SLNH,121.6,OCTO,1
2013,6,OCTO,106.2,FLUF,1
2013,6,SHSR,84.9,DMPS,1
2013,6,ATOM,123.2,TGIF,1
2013,6,DMPS,77.2,SHSR,0
2013,6,TGIF,105.8,ATOM,0
2013,6,ROBO,100.8,MEGA,0
2013,6,MEGA,118,ROBO,1
2013,6,PHSH,124.6,SLNH,1
2013,6,AFB,55.4,MCHO,0
2013,6,FLUF,87.4,OCTO,0
2013,6,MCHO,100.7,AFB,1
2013,6,SLNH,86.4,PHSH,0
2013,7,OCTO,113.6,MEGA,1
2013,7,SHSR,113.5,SLNH,1
2013,7,ATOM,89.4,DMPS,1
2013,7,DMPS,60.9,ATOM,0
2013,7,TGIF,128.9,AFB,1
2013,7,ROBO,94.7,AFB,0
2013,7,MEGA,103.8,OCTO,0
2013,7,PHSH,100.4,FLUF,0
2013,7,AFB,121.6,ROBO,1
2013,7,FLUF,106.1,PHSH,1
2013,7,MCHO,95.6,TGIF,0
2013,7,SLNH,96.7,SHSR,0
2013,8,OCTO,106.8,AFB,0
2013,8,SHSR,72.6,FLUF,0
2013,8,ATOM,101.4,SLNH,0
2013,8,DMPS,86.2,MCHO,0
2013,8,TGIF,81.8,ROBO,0
2013,8,ROBO,100.4,TGIF,1
2013,8,MEGA,70.6,PHSH,0
2013,8,PHSH,120.2,MEGA,1
2013,8,AFB,113,OCTO,1
2013,8,FLUF,144,SHSR,1
2013,8,MCHO,86.7,DMPS,1
2013,8,SLNH,103,ATOM,1
2013,9,OCTO,97,TGIF,0
2013,9,SHSR,126.9,MEGA,1
2013,9,ATOM,99.3,FLUF,1
2013,9,DMPS,101.4,ROBO,1
2013,9,TGIF,165.4,OCTO,1
2013,9,ROBO,62.8,DMPS,0
2013,9,MEGA,91.2,SHSR,0
2013,9,PHSH,74.7,AFB,0
2013,9,AFB,76.2,PHSH,1
2013,9,FLUF,80.9,ATOM,0
2013,9,MCHO,115.6,SLNH,1
2013,9,SLNH,115.5,MCHO,0
2013,10,OCTO,89.5,DMPS,0
2013,10,SHSR,89.2,AFB,1
2013,10,ATOM,116.2,MEGA,1
2013,10,DMPS,93.3,OCTO,1
2013,10,TGIF,98.2,PHSH,1
2013,10,ROBO,75.6,SLNH,0
2013,10,MEGA,83.3,ATOM,0
2013,10,PHSH,91,TGIF,0
2013,10,AFB,82.8,SHSR,0
2013,10,FLUF,107.1,MCHO,0
2013,10,MCHO,141,FLUF,1
2013,10,SLNH,79.9,ROBO,1
2013,11,OCTO,103.1,ROBO,1
2013,11,SHSR,83.9,PHSH,0
2013,11,ATOM,88.8,MCHO,0
2013,11,DMPS,130.3,TGIF,1
2013,11,TGIF,111.4,DMPS,0
2013,11,ROBO,88.4,OCTO,0
2013,11,MEGA,99.9,AFB,0
2013,11,PHSH,113.4,SHSR,1
2013,11,AFB,118.8,MEGA,1
2013,11,FLUF,91.5,SLNH,0
2013,11,MCHO,106.2,ATOM,1
2013,11,SLNH,96,FLUF,1
2013,12,OCTO,124.2,MCHO,1
2013,12,SHSR,67.9,ATOM,0
2013,12,ATOM,85.1,SHSR,1
2013,12,DMPS,96.8,FLUF,0
2013,12,TGIF,90.8,AFB,1
2013,12,ROBO,85.1,PHSH,1
2013,12,MEGA,94.4,SLNH,0
2013,12,PHSH,82.6,ROBO,0
2013,12,AFB,86.6,TGIF,0
2013,12,FLUF,164.4,DMPS,1
2013,12,MCHO,96.8,OCTO,0
2013,12,SLNH,95.1,MEGA,1
2013,13,OCTO,128.2,SHSR,0
2013,13,SHSR,150.6,OCTO,1
2013,13,ATOM,137,ROBO,0
2013,13,DMPS,82.6,MEGA,0
2013,13,TGIF,97.7,SLNH,1
2013,13,ROBO,138.4,ATOM,1
2013,13,MEGA,122.5,DMPS,1
2013,13,PHSH,83.4,MCHO,0
2013,13,AFB,78.3,FLUF,0
2013,13,FLUF,101.7,AFB,1
2013,13,MCHO,126.7,PHSH,1
2013,13,SLNH,88.2,TGIF,0
2013,14,OCTO,117.9,ATOM,1
2013,14,SHSR,78,PHSH,0
2013,14,ATOM,81.7,OCTO,0
2013,14,DMPS,110.6,TGIF,0
2013,14,TGIF,134,DMPS,1
2013,14,ROBO,131.5,MCHO,1
2013,14,MEGA,112.4,FLUF,1
2013,14,PHSH,96.2,SHSR,1
2013,14,AFB,103.3,SLNH,1
2013,14,FLUF,84.9,MEGA,0
2013,14,MCHO,122.1,ROBO,0
2013,14,SLNH,85.2,AFB,0
2012,1,MEGA,52.1,PHSH,0
2012,1,OCTO,71.8,SHSR,0
2012,1,ATOM,73,DMPS,0
2012,1,MCHO,83.6,TGIF,0
2012,1,TGIF,90.6,MCHO,1
2012,1,PHSH,98,MEGA,1
2012,1,SLNH,98.4,ROBO,0
2012,1,ROBO,100.2,SLNH,1
2012,1,FLUF,102.2,AFB,0
2012,1,DMPS,111.6,ATOM,1
2012,1,AFB,126.3,FLUF,1
