ID,PrevWeek,2WeekAvg,3WeekAvg,4WeekAvg,Max,Min,Score
ATOM-2012-14,66.6,58.75,57.18333333,56.72083333,111,50.9,67.4
DMPS-2012-14,78,89.2,93.53333333,96.2875,115.4,78,117
FLUF-2012-14,120,106.1,101.6,100.325,130.1,66.5,81.4
MCHO-2012-14,87.1,93.6,94.23333333,94.64583333,116.4,67.2,103.3
MEGA-2012-14,82.3,84,81.55,80.17916667,128.3,52.1,96.6
OCTO-2012-14,148.5,145.2,138.0833333,133.9208333,148.5,71.8,142.2
PHSH-2012-14,85.4,98.45,101.45,100.7458333,129.4,58.6,83.7
ROBO-2012-14,92.8,88.3,86.56666667,86.83333333,111,55.8,103.2
SHSR-2012-14,74.7,91.05,93.11666667,93.37083333,134.7,67.1,102.6
SLNH-2012-14,70.9,76.05,72.85,71.44583333,128.5,38.1,72
TGIF-2012-14,80.6,95.65,97.3,96.8,137.4,56.9,74.3
AFB-2011-5,72.2,94.05,101.5,104.0625,116.9,72.2,119.5
ATOM-2011-5,101,82.85,84.13333333,86.13333333,108.7,64.7,58
DMPS-2011-5,111.7,89.2,84.9,82.64583333,111.7,64.2,75.3
FLUF-2011-5,85,95.3,105.5833333,110.0791667,146.7,85,51.8
MCHO-2011-5,132.3,120.7,114.15,109.3375,132.3,72.2,115.8
MEGA-2011-5,94,89.75,95.46666667,99.69583333,128.3,85.5,98.3
OCTO-2011-5,114.2,101.4,102.6833333,105.0958333,131.1,88.6,82.1
PHSH-2011-5,145.4,119,107.7333333,102.3291667,145.4,77.8,98.4
ROBO-2011-5,88.8,78.6,81.1,82.23333333,103.8,65.6,67.3
SHSR-2011-5,114.7,105.4,107.3,107.9333333,126.1,88.5,114.5
SLNH-2011-5,123.2,100.85,91.11666667,86.78333333,123.2,64.8,130.6
TGIF-2011-5,80.8,93.95,99.05,102.4,126.3,80.8,101.4
AFB-2011-6,119.5,95.85,95.25,96.8125,119.5,72.2,96.8
ATOM-2011-6,58,79.5,80.61666667,81.49583333,108.7,58,77.8
DMPS-2011-6,75.3,93.5,92.06666667,90.275,111.7,64.2,92.9
FLUF-2011-6,51.8,68.4,77.36666667,84.42083333,146.7,51.8,95.4
MCHO-2011-6,115.8,124.05,122.9333333,120.7375,132.3,72.2,89.5
MEGA-2011-6,98.3,96.15,94.01666667,94.37916667,128.3,85.5,106.6
OCTO-2011-6,82.1,98.15,99.23333333,100.0958333,131.1,82.1,101
PHSH-2011-6,98.4,121.9,120.9333333,117.6333333,145.4,77.8,54.6
ROBO-2011-6,67.3,78.05,78.23333333,78.95,103.8,65.6,116.4
SHSR-2011-6,114.5,114.6,111.5333333,110.475,126.1,88.5,98.1
SLNH-2011-6,130.6,126.9,118.2166667,111.4416667,130.6,64.8,55.3
TGIF-2011-6,101.4,91.1,92.05,93.8,126.3,80.8,59.9
AFB-2011-7,96.8,108.15,104.05,101.85,119.5,72.2,49.3
ATOM-2011-7,77.8,67.9,71.76666667,73.97916667,108.7,58,80.7
DMPS-2011-7,92.9,84.1,87.23333333,88.44166667,111.7,64.2,89.9
FLUF-2011-7,95.4,73.6,71.86666667,73.24166667,146.7,51.8,60
MCHO-2011-7,89.5,102.65,109.7833333,113.0708333,132.3,72.2,111.8
MEGA-2011-7,106.6,102.45,100.35,98.76666667,128.3,85.5,69.4
OCTO-2011-7,101,91.55,93.75,95.12083333,131.1,82.1,75.5
PHSH-2011-7,54.6,76.5,91.63333333,98.95833333,145.4,54.6,101.6
ROBO-2011-7,116.4,91.85,87.25,84.99583333,116.4,65.6,97.8
SHSR-2011-7,98.1,106.3,109.0666667,109.6833333,126.1,88.5,71.8
SLNH-2011-7,55.3,92.95,104.2666667,107.7541667,130.6,55.3,56.8
TGIF-2011-7,59.9,80.65,84.13333333,86.1125,126.3,59.9,143.3
AFB-2011-8,49.3,73.05,84.75,89.575,119.5,49.3,79.4
ATOM-2011-8,80.7,79.25,75.46666667,74.54166667,108.7,58,40.8
DMPS-2011-8,89.9,91.4,88.96666667,88.53333333,111.7,64.2,76.4
FLUF-2011-8,60,77.7,76.33333333,75.21666667,146.7,51.8,95.8
MCHO-2011-8,111.8,100.65,101.3166667,103.4333333,132.3,72.2,98.2
MEGA-2011-8,69.4,88,92.81666667,94.7,128.3,69.4,92.2
OCTO-2011-8,75.5,88.25,89.35,90.45,131.1,75.5,96.1
PHSH-2011-8,101.6,78.1,77.56666667,81.08333333,145.4,54.6,70.1
ROBO-2011-8,97.8,107.1,102.0166667,98.325,116.4,65.6,85.1
SHSR-2011-8,71.8,84.95,92.06666667,96.31666667,126.1,71.8,115.4
SLNH-2011-8,56.8,56.05,68.35,77.32916667,130.6,55.3,62.4
TGIF-2011-8,143.3,101.6,94.61666667,91.99583333,143.3,59.9,107.1
AFB-2011-9,79.4,64.35,67.25,71.625,119.5,49.3,111.6
ATOM-2011-9,40.8,60.75,66.91666667,69.05416667,108.7,40.8,84.6
DMPS-2011-9,76.4,83.15,85.9,86.66666667,111.7,64.2,59.8
FLUF-2011-9,95.8,77.9,77.83333333,77.45833333,146.7,51.8,81.5
MCHO-2011-9,98.2,105,103.55,102.9916667,132.3,72.2,88.9
MEGA-2011-9,92.2,80.8,83.2,85.60416667,128.3,69.4,94.4
OCTO-2011-9,96.1,85.8,86.61666667,87.3,131.1,75.5,86.9
PHSH-2011-9,70.1,85.85,83.26666667,81.84166667,145.4,54.6,88.1
ROBO-2011-9,85.1,91.45,96.66666667,98.00416667,116.4,65.6,89
SHSR-2011-9,115.4,93.6,90.71666667,91.05416667,126.1,71.8,117.9
SLNH-2011-9,62.4,59.6,58.41666667,60.9,130.6,55.3,84.4
TGIF-2011-9,107.1,125.2,117.3333333,111.6541667,143.3,59.9,133
AFB-2011-10,111.6,95.5,85.11666667,80.65,119.5,49.3,78.2
ATOM-2011-10,84.6,62.7,62.05,63.26666667,108.7,40.8,49.9
DMPS-2011-10,59.8,68.1,73.11666667,76.3125,111.7,59.8,89.4
FLUF-2011-10,81.5,88.65,85.06666667,83.25833333,146.7,51.8,99.2
MCHO-2011-10,88.9,93.55,97.36666667,98.9125,132.3,72.2,98.9
MEGA-2011-10,94.4,93.3,89.13333333,87.65,128.3,69.4,78.2
OCTO-2011-10,86.9,91.5,89.6,88.85416667,131.1,75.5,108.4
PHSH-2011-10,88.1,79.1,81.35,81.82916667,145.4,54.6,74.7
ROBO-2011-10,89,87.05,88.51666667,90.55416667,116.4,65.6,91.3
SHSR-2011-10,117.9,116.65,108.9666667,104.4041667,126.1,71.8,109.3
SLNH-2011-10,84.4,73.4,68.8,66.20416667,130.6,55.3,88.2
TGIF-2011-10,133,120.05,121.7666667,120.6583333,143.3,59.9,118.1
AFB-2011-11,78.2,94.9,95.1,92.60416667,119.5,49.3,111.4
ATOM-2011-11,49.9,67.25,65.73333333,64.8125,108.7,40.8,54.2
DMPS-2011-11,89.4,74.6,72.43333333,72.60416667,111.7,59.8,83
FLUF-2011-11,99.2,90.35,89.78333333,88.60416667,146.7,51.8,91.5
MCHO-2011-11,98.9,93.9,93.78333333,94.67916667,132.3,72.2,92.9
MEGA-2011-11,78.2,86.3,88.63333333,88.75833333,128.3,69.4,83.8
OCTO-2011-11,108.4,97.65,95.6,94.1,131.1,75.5,81.8
PHSH-2011-11,74.7,81.4,80.63333333,80.8125,145.4,54.6,80.8
ROBO-2011-11,91.3,90.15,89.11666667,88.96666667,116.4,65.6,107.7
SHSR-2011-11,109.3,113.6,114.6166667,113.2041667,126.1,71.8,95.6
SLNH-2011-11,88.2,86.3,82,78.7,130.6,55.3,100.4
TGIF-2011-11,118.1,125.55,123.7166667,123.2291667,143.3,59.9,48.4
AFB-2011-12,111.4,94.8,94.83333333,94.9,119.5,49.3,90.2
ATOM-2011-12,54.2,52.05,57.11666667,59.27083333,108.7,40.8,90.1
DMPS-2011-12,83,86.2,82.33333333,79.85833333,111.7,59.8,74.5
FLUF-2011-12,91.5,95.35,93.68333333,92.70833333,146.7,51.8,80.1
MCHO-2011-12,92.9,95.9,95.23333333,94.87083333,132.3,72.2,118.9
MEGA-2011-12,83.8,81,82.76666667,84.23333333,128.3,69.4,74.4
OCTO-2011-12,81.8,95.1,95.95,95.8625,131.1,75.5,63.3
PHSH-2011-12,80.8,77.75,78.96666667,79.38333333,145.4,54.6,108.6
ROBO-2011-12,107.7,99.5,96.38333333,94.56666667,116.4,65.6,78.8
SHSR-2011-12,95.6,102.45,106.1666667,108.2791667,126.1,71.8,94.3
SLNH-2011-12,100.4,94.3,91.63333333,89.225,130.6,55.3,84.4
TGIF-2011-12,48.4,83.25,97.35,103.9416667,143.3,48.4,105.2
AFB-2011-13,90.2,100.8,98.8,97.80833333,119.5,49.3,122.3
ATOM-2011-13,90.1,72.15,65.45,63.36666667,108.7,40.8,65.7
DMPS-2011-13,74.5,78.75,81.23333333,81.50833333,111.7,59.8,80.5
FLUF-2011-13,80.1,85.8,88.98333333,90.15833333,146.7,51.8,117
MCHO-2011-13,118.9,105.9,102.5666667,100.7333333,132.3,72.2,81.6
MEGA-2011-13,74.4,79.1,79.73333333,80.49166667,128.3,69.4,88.7
OCTO-2011-13,63.3,72.55,80.06666667,84.0375,131.1,63.3,98.4
PHSH-2011-13,108.6,94.7,89.05,86.52916667,145.4,54.6,121.5
ROBO-2011-13,78.8,93.25,95.33333333,95.59583333,116.4,65.6,64.9
SHSR-2011-13,94.3,94.95,97.45,99.62916667,126.1,71.8,95.1
SLNH-2011-13,84.4,92.4,93.03333333,92.68333333,130.6,55.3,145.2
TGIF-2011-13,105.2,76.8,78.95,83.55,143.3,48.4,84.6
